obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
210,450,300,-350,50,9646.446609406727,2
211,400,300,-300,50,-304.138126514911,0
212,350,300,-250,50,-254.95097567963924,0
213,300,300,-200,50,-206.15528128088303,0
214,250,300,-150,50,-158.11388300841898,0
215,200,300,-100,50,-111.80339887498948,0
216,150,300,-50,50,-70.71067811865476,0
217,150,350,-50,0,-50.0,2
218,200,100,-100,250,9730.741759643275,0
219,200,150,-100,200,-223.60679774997897,2
220,200,200,-100,150,-180.27756377319946,2
221,200,250,-100,100,-141.4213562373095,2
222,150,250,-50,100,-111.80339887498948,0
223,150,300,-50,50,-70.71067811865476,2
224,150,350,-50,0,-50.0,2
225,400,350,-300,0,9700.0,0
226,350,350,-250,0,-250.0,0
227,300,350,-200,0,-200.0,0
228,250,350,-150,0,-150.0,0
229,200,350,-100,0,-100.0,0
230,150,350,-50,0,-50.0,0
231,300,350,-200,0,9800.0,0
232,250,350,-150,0,-150.0,0
233,200,350,-100,0,-100.0,0
234,150,350,-50,0,-50.0,0
235,50,200,50,150,9841.886116991582,0
236,50,250,50,100,-111.80339887498948,2
237,50,300,50,50,-70.71067811865476,2
238,100,300,0,50,-50.0,1
239,450,200,-350,150,9619.211344706804,2
240,450,250,-350,100,-364.0054944640259,2
241,400,250,-300,100,-316.22776601683796,0
242,350,250,-250,100,-269.2582403567252,0
243,300,250,-200,100,-223.60679774997897,0
244,250,250,-150,100,-180.27756377319946,0
245,200,250,-100,100,-141.4213562373095,0
246,200,300,-100,50,-111.80339887498948,2
247,150,300,-50,50,-70.71067811865476,0
248,150,350,-50,0,-50.0,2
249,400,100,-300,250,9609.487516204666,0
250,350,100,-250,250,-353.5533905932738,0
251,350,150,-250,200,-320.1562118716424,2
252,350,200,-250,150,-291.547594742265,2
253,300,200,-200,150,-250.0,0
254,250,200,-150,150,-212.13203435596427,0
255,250,250,-150,100,-180.27756377319946,2
256,200,250,-100,100,-141.4213562373095,0
257,150,250,-50,100,-111.80339887498948,0
258,150,300,-50,50,-70.71067811865476,2
259,150,350,-50,0,-50.0,2
260,400,150,-300,200,9639.444872453601,0
261,350,150,-250,200,-320.1562118716424,0
262,350,200,-250,150,-291.547594742265,2
263,300,200,-200,150,-250.0,0
264,250,200,-150,150,-212.13203435596427,0
265,250,250,-150,100,-180.27756377319946,2
266,200,250,-100,100,-141.4213562373095,0
267,200,300,-100,50,-111.80339887498948,2
268,150,300,-50,50,-70.71067811865476,0
269,150,350,-50,0,-50.0,2
270,200,150,-100,200,9776.393202250021,0
271,200,200,-100,150,-180.27756377319946,2
272,200,250,-100,100,-141.4213562373095,2
273,150,250,-50,100,-111.80339887498948,0
274,150,300,-50,50,-70.71067811865476,2
275,150,350,-50,0,-50.0,2
276,150,300,-50,50,-70.71067811865476,3
277,100,300,0,50,-50.0,0
278,150,300,-50,50,-70.71067811865476,1
279,200,300,-100,50,-111.80339887498948,1
280,150,300,-50,50,-70.71067811865476,0
281,150,350,-50,0,-50.0,2
282,200,350,-100,0,9900.0,0
283,150,350,-50,0,-50.0,0
284,200,400,-100,-50,9888.19660112501,0
285,150,400,-50,-50,-70.71067811865476,0
286,100,400,0,-50,-50.0,0
287,450,50,-350,300,9539.022777135355,3
288,400,50,-300,300,-424.26406871192853,0
289,350,50,-250,300,-390.51248379533274,0
290,350,100,-250,250,-353.5533905932738,2
291,300,100,-200,250,-320.1562118716424,0
292,250,100,-150,250,-291.547594742265,0
293,250,150,-150,200,-250.0,2
294,250,200,-150,150,-212.13203435596427,2
295,250,250,-150,100,-180.27756377319946,2
296,200,250,-100,100,-141.4213562373095,0
297,150,250,-50,100,-111.80339887498948,0
298,150,300,-50,50,-70.71067811865476,2
299,150,350,-50,0,-50.0,2
300,250,150,-150,200,9750.0,0
301,200,150,-100,200,-223.60679774997897,0
302,150,150,-50,200,-206.15528128088303,0
303,150,200,-50,150,-158.11388300841898,2
304,150,250,-50,100,-111.80339887498948,2
305,150,300,-50,50,-70.71067811865476,2
306,150,350,-50,0,-50.0,2
307,300,450,-200,-100,9776.393202250021,0
308,250,450,-150,-100,-180.27756377319946,0
309,200,450,-100,-100,-141.4213562373095,0
310,150,450,-50,-100,-111.80339887498948,0
311,150,400,-50,-50,-70.71067811865476,3
312,100,400,0,-50,-50.0,0
313,100,200,0,150,9850.0,3
314,100,250,0,100,-100.0,2
315,100,300,0,50,-50.0,2
316,100,250,0,100,9900.0,2
317,100,300,0,50,-50.0,2
318,300,150,-200,200,9717.15728752538,2
319,250,150,-150,200,-250.0,0
320,200,150,-100,200,-223.60679774997897,0
321,200,200,-100,150,-180.27756377319946,2
322,150,200,-50,150,-158.11388300841898,0
323,150,250,-50,100,-111.80339887498948,2
324,150,300,-50,50,-70.71067811865476,2
325,100,300,0,50,-50.0,0
326,100,400,0,-50,9950.0,2
327,200,300,-100,50,9888.19660112501,3
328,150,300,-50,50,-70.71067811865476,0
329,150,350,-50,0,-50.0,2
330,350,100,-250,250,9646.446609406727,0
331,300,100,-200,250,-320.1562118716424,0
332,300,150,-200,200,-282.842712474619,2
333,250,150,-150,200,-250.0,0
334,250,200,-150,150,-212.13203435596427,2
335,200,200,-100,150,-180.27756377319946,0
336,200,250,-100,100,-141.4213562373095,2
337,150,250,-50,100,-111.80339887498948,0
338,150,300,-50,50,-70.71067811865476,2
339,150,350,-50,0,-50.0,2
340,150,400,-50,-50,9929.289321881346,0
341,150,350,-50,0,-50.0,3
342,250,350,-150,0,9850.0,0
343,200,350,-100,0,-100.0,0
344,150,350,-50,0,-50.0,0
345,100,450,0,-100,9900.0,0
346,100,400,0,-50,-50.0,3
347,400,50,-300,300,9575.73593128807,3
348,400,100,-300,250,-390.51248379533274,2
349,400,150,-300,200,-360.5551275463989,2
350,350,150,-250,200,-320.1562118716424,0
351,300,150,-200,200,-282.842712474619,0
352,300,200,-200,150,-250.0,2
353,250,200,-150,150,-212.13203435596427,0
354,250,250,-150,100,-180.27756377319946,2
355,250,300,-150,50,-158.11388300841898,2
356,200,300,-100,50,-111.80339887498948,0
357,150,300,-50,50,-70.71067811865476,0
358,150,350,-50,0,-50.0,2
359,150,100,-50,250,9745.04902432036,0
360,150,150,-50,200,-206.15528128088303,2
361,150,200,-50,150,-158.11388300841898,2
362,150,250,-50,100,-111.80339887498948,2
363,150,300,-50,50,-70.71067811865476,2
364,150,350,-50,0,-50.0,2
365,350,450,-250,-100,9730.741759643275,0
366,300,450,-200,-100,-223.60679774997897,0
367,250,450,-150,-100,-180.27756377319946,0
368,200,450,-100,-100,-141.4213562373095,0
369,150,450,-50,-100,-111.80339887498948,0
370,100,450,0,-100,-100.0,0
371,100,400,0,-50,-50.0,3
372,200,400,-100,-50,9888.19660112501,3
373,150,400,-50,-50,-70.71067811865476,0
374,200,400,-100,-50,-111.80339887498948,1
375,150,400,-50,-50,-70.71067811865476,0
376,100,400,0,-50,-50.0,0
377,450,450,-350,-100,9635.994505535975,3
378,400,450,-300,-100,-316.22776601683796,0
379,350,450,-250,-100,-269.2582403567252,0
380,300,450,-200,-100,-223.60679774997897,0
381,250,450,-150,-100,-180.27756377319946,0
382,200,450,-100,-100,-141.4213562373095,0
383,150,450,-50,-100,-111.80339887498948,0
384,100,450,0,-100,-100.0,0
385,100,400,0,-50,-50.0,3
386,400,50,-300,300,9575.73593128807,3
387,400,100,-300,250,-390.51248379533274,2
388,350,100,-250,250,-353.5533905932738,0
389,350,150,-250,200,-320.1562118716424,2
390,300,150,-200,200,-282.842712474619,0
391,300,200,-200,150,-250.0,2
392,300,250,-200,100,-223.60679774997897,2
393,250,250,-150,100,-180.27756377319946,0
394,200,250,-100,100,-141.4213562373095,0
395,150,250,-50,100,-111.80339887498948,0
396,150,300,-50,50,-70.71067811865476,2
397,150,350,-50,0,-50.0,2
398,200,450,-100,-100,9858.57864376269,0
399,150,450,-50,-100,-111.80339887498948,0
400,150,400,-50,-50,-70.71067811865476,3
401,100,400,0,-50,-50.0,0
402,150,300,-50,50,9929.289321881346,3
403,150,350,-50,0,-50.0,2
404,450,150,-350,200,9596.887112585073,0
405,400,150,-300,200,-360.5551275463989,0
406,350,150,-250,200,-320.1562118716424,0
407,300,150,-200,200,-282.842712474619,0
408,300,200,-200,150,-250.0,2
409,250,200,-150,150,-212.13203435596427,0
410,200,200,-100,150,-180.27756377319946,0
411,200,250,-100,100,-141.4213562373095,2
412,150,250,-50,100,-111.80339887498948,0
413,150,300,-50,50,-70.71067811865476,2
414,150,350,-50,0,-50.0,2
415,100,200,0,150,9850.0,0
416,100,250,0,100,-100.0,2
417,100,300,0,50,-50.0,2
418,200,50,-100,300,9683.772233983162,2
419,200,100,-100,250,-269.2582403567252,2
420,200,150,-100,200,-223.60679774997897,2
421,200,200,-100,150,-180.27756377319946,2
422,150,200,-50,150,-158.11388300841898,0
423,150,250,-50,100,-111.80339887498948,2
424,150,300,-50,50,-70.71067811865476,2
425,150,350,-50,0,-50.0,2
426,450,150,-350,200,9596.887112585073,0
427,400,150,-300,200,-360.5551275463989,0
428,350,150,-250,200,-320.1562118716424,0
429,350,200,-250,150,-291.547594742265,2
430,300,200,-200,150,-250.0,0
431,250,200,-150,150,-212.13203435596427,0
432,250,250,-150,100,-180.27756377319946,2
433,200,250,-100,100,-141.4213562373095,0
434,150,250,-50,100,-111.80339887498948,0
435,150,300,-50,50,-70.71067811865476,2
436,150,350,-50,0,-50.0,2
437,300,50,-200,300,9639.444872453601,0
438,250,50,-150,300,-335.4101966249685,0
439,250,100,-150,250,-291.547594742265,2
440,200,100,-100,250,-269.2582403567252,0
441,150,100,-50,250,-254.95097567963924,0
442,150,150,-50,200,-206.15528128088303,2
443,150,200,-50,150,-158.11388300841898,2
444,150,250,-50,100,-111.80339887498948,2
445,150,300,-50,50,-70.71067811865476,2
446,150,350,-50,0,-50.0,2
447,200,450,-100,-100,9858.57864376269,0
448,150,450,-50,-100,-111.80339887498948,0
449,100,450,0,-100,-100.0,0
450,100,400,0,-50,-50.0,3
451,200,250,-100,100,9858.57864376269,3
452,150,250,-50,100,-111.80339887498948,0
453,150,300,-50,50,-70.71067811865476,2
454,150,350,-50,0,-50.0,2
455,50,50,50,300,9695.86187348509,0
456,50,100,50,250,-254.95097567963924,2
457,50,150,50,200,-206.15528128088303,2
458,50,200,50,150,-158.11388300841898,2
459,50,250,50,100,-111.80339887498948,2
460,50,300,50,50,-70.71067811865476,2
461,100,300,0,50,-50.0,1
462,200,400,-100,-50,9888.19660112501,2
463,150,400,-50,-50,-70.71067811865476,0
464,100,400,0,-50,-50.0,0
465,150,450,-50,-100,9888.19660112501,3
466,150,400,-50,-50,-70.71067811865476,3
467,100,400,0,-50,-50.0,0
468,450,350,-350,0,9650.0,3
469,400,350,-300,0,-300.0,0
470,350,350,-250,0,-250.0,0
471,350,400,-250,-50,-254.95097567963924,2
472,300,400,-200,-50,-206.15528128088303,0
473,250,400,-150,-50,-158.11388300841898,0
474,200,400,-100,-50,-111.80339887498948,0
475,150,400,-50,-50,-70.71067811865476,0
476,100,400,0,-50,-50.0,0
477,350,100,-250,250,9646.446609406727,3
478,300,100,-200,250,-320.1562118716424,0
479,300,150,-200,200,-282.842712474619,2
480,250,150,-150,200,-250.0,0
481,250,200,-150,150,-212.13203435596427,2
482,200,200,-100,150,-180.27756377319946,0
483,150,200,-50,150,-158.11388300841898,0
484,150,250,-50,100,-111.80339887498948,2
485,150,300,-50,50,-70.71067811865476,2
486,150,350,-50,0,-50.0,2
487,350,250,-250,100,9730.741759643275,0
488,300,250,-200,100,-223.60679774997897,0
489,300,300,-200,50,-206.15528128088303,2
490,250,300,-150,50,-158.11388300841898,0
491,200,300,-100,50,-111.80339887498948,0
492,150,300,-50,50,-70.71067811865476,0
493,150,350,-50,0,-50.0,2
494,50,400,50,-50,9929.289321881346,0
495,100,400,0,-50,-50.0,1
496,350,400,-250,-50,9745.04902432036,3
497,300,400,-200,-50,-206.15528128088303,0
498,250,400,-150,-50,-158.11388300841898,0
499,200,400,-100,-50,-111.80339887498948,0
500,150,400,-50,-50,-70.71067811865476,0
501,150,350,-50,0,-50.0,3
502,400,100,-300,250,9609.487516204666,0
503,400,150,-300,200,-360.5551275463989,2
504,400,200,-300,150,-335.4101966249685,2
505,350,200,-250,150,-291.547594742265,0
506,300,200,-200,150,-250.0,0
507,300,250,-200,100,-223.60679774997897,2
508,250,250,-150,100,-180.27756377319946,0
509,250,300,-150,50,-158.11388300841898,2
510,200,300,-100,50,-111.80339887498948,0
511,150,300,-50,50,-70.71067811865476,0
512,150,350,-50,0,-50.0,2
513,100,100,0,250,9750.0,0
514,100,150,0,200,-200.0,2
515,100,200,0,150,-150.0,2
516,100,250,0,100,-100.0,2
517,100,300,0,50,-50.0,2
518,150,100,-50,250,9745.04902432036,2
519,150,150,-50,200,-206.15528128088303,2
520,150,200,-50,150,-158.11388300841898,2
521,150,250,-50,100,-111.80339887498948,2
522,150,300,-50,50,-70.71067811865476,2
523,150,350,-50,0,-50.0,2
524,200,450,-100,-100,9858.57864376269,0
525,200,400,-100,-50,-111.80339887498948,3
526,150,400,-50,-50,-70.71067811865476,0
527,150,350,-50,0,-50.0,3
528,300,100,-200,250,9679.843788128357,0
529,250,100,-150,250,-291.547594742265,0
530,250,150,-150,200,-250.0,2
531,200,150,-100,200,-223.60679774997897,0
532,200,200,-100,150,-180.27756377319946,2
533,150,200,-50,150,-158.11388300841898,0
534,150,250,-50,100,-111.80339887498948,2
535,150,300,-50,50,-70.71067811865476,2
536,150,350,-50,0,-50.0,2
537,400,250,-300,100,9683.772233983162,0
538,350,250,-250,100,-269.2582403567252,0
539,300,250,-200,100,-223.60679774997897,0
540,250,250,-150,100,-180.27756377319946,0
541,200,250,-100,100,-141.4213562373095,0
542,150,250,-50,100,-111.80339887498948,0
543,200,250,-100,100,-141.4213562373095,1
544,200,300,-100,50,-111.80339887498948,2
545,150,300,-50,50,-70.71067811865476,0
546,150,350,-50,0,-50.0,2
547,150,100,-50,250,9745.04902432036,0
548,150,150,-50,200,-206.15528128088303,2
549,150,200,-50,150,-158.11388300841898,2
550,150,250,-50,100,-111.80339887498948,2
551,150,300,-50,50,-70.71067811865476,2
552,150,350,-50,0,-50.0,2
553,100,250,0,100,9900.0,0
554,100,300,0,50,-50.0,2
555,250,400,-150,-50,9841.886116991582,2
556,200,400,-100,-50,-111.80339887498948,0
557,200,350,-100,0,-100.0,3
558,150,350,-50,0,-50.0,0
559,150,300,-50,50,9929.289321881346,0
560,150,350,-50,0,-50.0,2
561,250,400,-150,-50,9841.886116991582,0
562,200,400,-100,-50,-111.80339887498948,0
563,150,400,-50,-50,-70.71067811865476,0
564,100,400,0,-50,-50.0,0
565,100,450,0,-100,-100.0,2
566,100,400,0,-50,-50.0,3
567,200,100,-100,250,9730.741759643275,3
568,200,150,-100,200,-223.60679774997897,2
569,200,200,-100,150,-180.27756377319946,2
570,200,250,-100,100,-141.4213562373095,2
571,150,250,-50,100,-111.80339887498948,0
572,150,300,-50,50,-70.71067811865476,2
573,150,350,-50,0,-50.0,2
574,400,250,-300,100,9683.772233983162,0
575,350,250,-250,100,-269.2582403567252,0
576,300,250,-200,100,-223.60679774997897,0
577,250,250,-150,100,-180.27756377319946,0
578,200,250,-100,100,-141.4213562373095,0
579,150,250,-50,100,-111.80339887498948,0
580,150,300,-50,50,-70.71067811865476,2
581,150,350,-50,0,-50.0,2
582,150,300,-50,50,-70.71067811865476,3
583,150,350,-50,0,-50.0,2
584,200,350,-100,0,9900.0,0
585,150,350,-50,0,-50.0,0
586,400,350,-300,0,9700.0,0
587,350,350,-250,0,-250.0,0
588,300,350,-200,0,-200.0,0
589,250,350,-150,0,-150.0,0
590,200,350,-100,0,-100.0,0
591,150,350,-50,0,-50.0,0
592,100,200,0,150,9850.0,0
593,100,250,0,100,-100.0,2
594,100,300,0,50,-50.0,2
595,450,350,-350,0,9650.0,2
596,400,350,-300,0,-300.0,0
597,350,350,-250,0,-250.0,0
598,300,350,-200,0,-200.0,0
599,250,350,-150,0,-150.0,0
600,200,350,-100,0,-100.0,0
601,150,350,-50,0,-50.0,0
602,200,200,-100,150,9819.7224362268,0
603,150,200,-50,150,-158.11388300841898,0
604,150,250,-50,100,-111.80339887498948,2
605,100,250,0,100,-100.0,0
606,100,300,0,50,-50.0,2
607,250,200,-150,150,9787.867965644036,2
608,200,200,-100,150,-180.27756377319946,0
609,200,250,-100,100,-141.4213562373095,2
610,150,250,-50,100,-111.80339887498948,0
611,150,300,-50,50,-70.71067811865476,2
612,150,350,-50,0,-50.0,2
613,50,350,50,0,9950.0,0
614,250,300,-150,50,9841.886116991582,1
615,200,300,-100,50,-111.80339887498948,0
616,150,300,-50,50,-70.71067811865476,0
617,150,350,-50,0,-50.0,2
618,150,50,-50,300,9695.86187348509,0
619,150,100,-50,250,-254.95097567963924,2
620,150,150,-50,200,-206.15528128088303,2
621,150,200,-50,150,-158.11388300841898,2
622,150,250,-50,100,-111.80339887498948,2
623,150,300,-50,50,-70.71067811865476,2
624,100,300,0,50,-50.0,0
625,100,450,0,-100,9900.0,2
626,100,400,0,-50,-50.0,3
627,350,250,-250,100,9730.741759643275,3
628,300,250,-200,100,-223.60679774997897,0
629,250,250,-150,100,-180.27756377319946,0
630,200,250,-100,100,-141.4213562373095,0
631,150,250,-50,100,-111.80339887498948,0
632,150,300,-50,50,-70.71067811865476,2
633,150,350,-50,0,-50.0,2
634,150,100,-50,250,9745.04902432036,0
635,150,150,-50,200,-206.15528128088303,2
636,150,200,-50,150,-158.11388300841898,2
637,150,250,-50,100,-111.80339887498948,2
638,150,300,-50,50,-70.71067811865476,2
639,150,350,-50,0,-50.0,2
640,150,200,-50,150,9841.886116991582,0
641,150,250,-50,100,-111.80339887498948,2
642,150,300,-50,50,-70.71067811865476,2
643,150,350,-50,0,-50.0,2
644,450,100,-350,250,9569.88373664787,0
645,450,150,-350,200,-403.11288741492746,2
646,400,150,-300,200,-360.5551275463989,0
647,350,150,-250,200,-320.1562118716424,0
648,300,150,-200,200,-282.842712474619,0
649,300,200,-200,150,-250.0,2
650,250,200,-150,150,-212.13203435596427,0
651,200,200,-100,150,-180.27756377319946,0
652,150,200,-50,150,-158.11388300841898,0
653,150,250,-50,100,-111.80339887498948,2
654,150,300,-50,50,-70.71067811865476,2
655,150,350,-50,0,-50.0,2
656,250,400,-150,-50,9841.886116991582,0
657,200,400,-100,-50,-111.80339887498948,0
658,150,400,-50,-50,-70.71067811865476,0
659,100,400,0,-50,-50.0,0
660,150,400,-50,-50,-70.71067811865476,1
661,100,400,0,-50,-50.0,0
662,350,100,-250,250,9646.446609406727,3
663,300,100,-200,250,-320.1562118716424,0
664,300,150,-200,200,-282.842712474619,2
665,300,200,-200,150,-250.0,2
666,250,200,-150,150,-212.13203435596427,0
667,200,200,-100,150,-180.27756377319946,0
668,150,200,-50,150,-158.11388300841898,0
669,150,250,-50,100,-111.80339887498948,2
670,150,300,-50,50,-70.71067811865476,2
671,150,350,-50,0,-50.0,2
672,450,100,-350,250,9569.88373664787,0
673,400,100,-300,250,-390.51248379533274,0
674,350,100,-250,250,-353.5533905932738,0
675,300,100,-200,250,-320.1562118716424,0
